rpa;enderco;bairro;latitude;longitude;privado;nome
1;Av. Dr. Jaime da Fonte;Santo Amaro;-8,0406713;-34,8785367;NÃO;CAMPO DO XI
1;Av. Martin Luter King, 72 ;Coque;-8,069009;-34,8994308;NÃO;CAMPO DO BARRO
4;Praça Professor Barreto Campelo;Torre;-8,0459677;-34,9139271;NÃO;CAMPO DO BUEIRÃO
1;Av. Desembargador Guerra Barreto;Coque;-8,0693792;-34,8946724;SIM;CAMPO DO FÓRUM
2;Rua Maria Estevão;Dois Unidos;-7,9990533;-34,9080478;SIM;CAMPO DO MINERVA
3;BR 101 Norte;Macaxeira;-8,0066964;-34,9383251;NÃO;CAMPO DO BARREIRÃO
2;Rua Coronel Mário Libório;Campina do Barreto;-8,0167602;-34,8819444;NÃO;CAMPO DO NOVAIS FILHO
3;Rua Vereador Otacílio Azevedo;Brejo da Guabiraba;-7,993252;-34,9274628;NÃO;CAMPO DO FLUMINENSE
3;Rua Divisópolis; Dois Unidos;-7,9963802;-34,9154071;NÃO;CAMPO DO PALMEIRAS
5;Avenida 21 de Abril;Afogados;-8,0768475;-34,9149856;SIM;CAMPO DO FERROVIÁRIO
5;Rua Tejucupapo;Mustardinha;-8,0720566;-34,9236162;NÃO;CAMPO DO INTERCLUBES (CADUCO)
5;rua passo de Santa Cruz;Jiquiá;-8,0862807;-34,9207657;NÃO;CAMPO DO JUQUIA I
5;rua passo de Santa Cruz;Jiquiá;-8,0862807;-34,9207657;NÃO;CAMPO DO JUQUIA II
4;Av. Professor Artur de S ;Várzea;-8,0469101;-34,9560068;NÃO;CAMPO DO BANCO
4;Rua Felício dos Santos;Várzea;-8,0344147;-34,9565548;NÃO;CAMPO DO VILA
4;Av. do Forte;Cordeiro;-8,0581955;-34,9317358;NÃO;CAMPO DO XV
4;R. Prof. Artur Coutinho ;Torräes;-8,0584598;-34,9372056;NÃO;CAMPO DE RODA DE FOGO
5;Av. 11 de Agosto;Coqueiral;-8,0795837;-34,9692891;NÃO;CAMPO DO BIDU KRAUSE
5;Rua Eusébio de Matos;Curado;-8,0760256;-34,9504918;NÃO;CAMPO DO ARROZ
5;Rua Camacho;Imbiribeira;-8,10251;-34,919066;NÃO;CAMPO DO DANCING DAYS
5;R. Professor Nelson de Melo;Ipsep;-8,1162483;-34,9181888;NÃO;CAMPO DA SUDENE
5;R. Sen. Thomaz Lobo;Areias;-8,0963593;-34,9211549;NÃO;CAMPO DO SALINAS